"Time","Subsystem #1|CTLs|Vars|BUS101_FRE","Subsystem #1|CTLs|Vars|V101RMS"
3.8208,1.000000188,1.008860525
3.8272,1.000000303,1.008186653
3.8336,1.000000303,1.008044646
3.84,1.000000588,1.008625703
3.8464,1.000000588,1.008933504
3.8528,1.000000588,1.008377621
3.8592,1.000000142,1.007960465
3.8656,1.000000142,1.008399964
3.872,1.000000142,1.008908249
3.8784,1.000000258,1.008587836
3.8848,1.000000258,1.00797395
3.8912,1.000000544,1.008182888
3.8976,1.000000544,1.008792443
3.904,1.000000544,1.008763892
3.9104,1.0000001,1.008084767
3.9168,1.0000001,1.008009532
3.9232,1.0000001,1.008609418
3.9296,1.000000219,1.008862879
3.936,1.000000219,1.00826985
3.9424,1.000000508,1.007910314
3.9488,1.000000508,1.008391088
3.9552,1.000000508,1.008864072
3.9616,1.000000068,1.008485214
3.968,1.000000068,1.007905797
3.9744,1.000000192,1.008172861
3.9808,1.000000192,1.008770509
3.9872,1.000000192,1.008677091
3.9936,1.000000485,1.007999986
4.0,1.000000485,1.007990217
4.0064,1.000000485,1.008602741
4.0128,1.000000049,1.008798733
4.0192,1.000000049,1.008174775
4.0256,1.000000178,1.007874954
4.032,1.000000178,1.008391359
4.0384,1.000000178,1.008824017
4.0448,1.000000475,1.008390016
4.0512,1.000000475,1.007850307
4.0576,1.000000043,1.008171405
4.064,1.000000043,1.008751208
4.0704,1.000000043,1.008592699
4.0768,1.000000176,1.00792447
4.0832,1.000000176,1.0079787
4.0896,1.000000176,1.008597822
4.096,1.000000476,1.008733201
4.1024,1.000000476,1.008084497
4.1088,1.000000048,1.007846263
4.1152,1.000000048,1.00839296
4.1216,1.000000048,1.00878032
4.128,1.000000183,1.008294734
4.1344,1.000000183,1.007799816
4.1408,1.000000484,1.00817115
4.1472,1.000000484,1.008727368
4.1536,1.000000484,1.008503928
4.16,1.000000057,1.007851542
4.1664,1.000000057,1.007968445
4.1728,1.000000057,1.008588455
4.1792,1.000000193,1.008660446
4.1856,1.000000193,1.00799368
4.192,1.000000495,1.007818916
4.1984,1.000000495,1.008390871
4.2048,1.000000495,1.008728318
4.2112,1.000000067,1.008195502
4.2176,1.000000067,1.007750478
4.224,1.000000203,1.008168429
4.2304,1.000000203,1.008695642
4.2368,1.000000203,1.008408314
4.2432,1.000000503,1.007779022
4.2496,1.000000503,1.007957218
4.256,1.000000503,1.008572641
4.2624,1.000000073,1.008579254
4.2688,1.000000073,1.007901812
4.2752,1.000000208,1.007792125
4.2816,1.000000208,1.008384399
4.288,1.000000208,1.008667889
4.2944,1.000000506,1.008093265
4.3008,1.000000506,1.007702959
4.3072,1.000000074,1.008163733
4.3136,1.000000074,1.008656867
4.32,1.000000074,1.008307874
4.3264,1.000000207,1.007708932
4.3328,1.000000207,1.007946555
4.3392,1.000000207,1.008552032
4.3456,1.000000503,1.008492263
4.352,1.000000503,1.007812049
4.3584,1.00000007,1.007768325
4.3648,1.00000007,1.00837582
4.3712,1.00000007,1.008601973
4.3776,1.000000201,1.007991924
4.384,1.000000201,1.007660421
4.3904,1.000000494,1.008159768
4.3968,1.000000494,1.008614073
4.4032,1.000000494,1.008206743
4.4096,1.00000006,1.007644982
4.416,1.00000006,1.007939397
4.4224,1.00000006,1.00852959
4.4288,1.00000019,1.008403396
4.4352,1.00000019,1.007728408
4.4416,1.000000482,1.007750529
4.448,1.000000482,1.00836789
4.4544,1.000000482,1.008533946
4.4608,1.000000047,1.00789547
4.4672,1.000000047,1.007625823
4.4736,1.000000177,1.008158967
4.48,1.000000177,1.008569957
4.4864,1.000000177,1.008108491
4.4928,1.000000468,1.007589971
4.4992,1.000000468,1.007937765
4.5056,1.000000468,1.008507315
4.512,1.000000033,1.008315448
4.5184,1.000000033,1.007653427
4.5248,1.000000163,1.007740292
4.5312,1.000000163,1.00836194
4.5376,1.000000163,1.00846565
4.544,1.000000455,1.007806026
4.5504,1.000000455,1.007600249
4.5568,1.00000002,1.008162006
4.5632,1.00000002,1.008525417
4.5696,1.00000002,1.008014634
4.576,1.000000151,1.007544557
4.5824,1.000000151,1.007941726
4.5888,1.000000151,1.008485296
4.5952,1.000000444,1.008229133
4.6016,1.000000444,1.007587399
4.608,1.00000001,1.007737145
4.6144,1.00000001,1.008357386
4.6208,1.00000001,1.00839695
4.6272,1.000000142,1.007723556
4.6336,1.000000142,1.007582804
4.64,1.000000435,1.008167772
4.6464,1.000000435,1.008479574
4.6528,1.000000435,1.007924763
4.6592,1.000000002,1.007507585
4.6656,1.000000002,1.007949766
4.672,1.000000002,1.008462097
4.6784,1.000000136,1.008143616
4.6848,1.000000136,1.007529072
4.6912,1.00000043,1.007739314
4.6976,1.00000043,1.00835245
4.704,1.00000043,1.008326553
4.7104,0.9999999974,1.007646836
4.7168,0.9999999974,1.007571618
4.7232,0.9999999974,1.008174315
4.7296,1.000000132,1.00843077
4.736,1.000000132,1.007837711
4.7424,1.000000426,1.007477259
4.7488,1.000000426,1.007959899
4.7552,1.000000426,1.008435883
